day,regionP,time,onVolume,offVolume
4,4,18,1546,1532
4,4,19,1854,1746
4,4,20,1759,1752
4,4,21,1822,1807
4,4,22,1830,1737
4,4,23,1302,1106
4,5,0,727,832
4,5,1,669,575
4,5,2,535,428
4,5,3,272,192
4,5,4,195,167
4,5,5,508,458
4,5,6,542,421
4,5,7,866,642
4,5,8,1614,1204
4,5,9,2079,1559
4,5,10,2180,1718
4,5,11,2024,1787
4,5,12,1966,1788
4,5,13,1747,1674
4,5,14,1566,1499
4,5,15,1355,1286
4,5,16,1334,1306
4,5,17,1436,1358
4,5,18,1722,1574
4,5,19,1680,1658
4,5,20,1658,1601
4,5,21,1706,1483
4,5,22,1512,1316
4,5,23,1154,808
5,0,0,1601,2156
5,0,1,1510,1692
5,0,2,1200,1261
5,0,3,646,697
5,0,4,722,627
5,0,5,1244,1739
5,0,6,1218,1426
5,0,7,2460,2788
5,0,8,3353,3432
5,0,9,3605,3856
5,0,10,3713,3975
5,0,11,3642,3937
5,0,12,3578,3777
5,0,13,3329,3614
5,0,14,2692,2729
5,0,15,2362,2389
5,0,16,1923,2182
5,0,17,2296,2563
5,0,18,2574,2849
5,0,19,2738,3055
5,0,20,2647,3061
5,0,21,2485,2862
5,0,22,2371,2864
5,0,23,2133,2057
5,1,0,2297,2822
5,1,1,2147,2103
5,1,2,2430,2384
5,1,3,1186,1140
5,1,4,884,915
5,1,5,2618,1833
5,1,6,1309,1676
5,1,7,2160,2667
5,1,8,2634,3060
5,1,9,2314,2733
5,1,10,2598,2823
5,1,11,2735,2797
5,1,12,2972,3082
5,1,13,3051,3240
5,1,14,3272,3269
5,1,15,3569,3582
5,1,16,3643,3768
5,1,17,3607,3730
5,1,18,3684,3588
5,1,19,3655,3588
5,1,20,3681,3509
5,1,21,3757,3575
5,1,22,3690,3248
5,1,23,3338,2475
5,2,0,980,1139
5,2,1,908,807
5,2,2,702,665
5,2,3,448,391
5,2,4,316,283
5,2,5,470,781
5,2,6,390,661
5,2,7,691,907
5,2,8,1055,1189
5,2,9,1019,1198
5,2,10,1189,1249
5,2,11,1625,1500
5,2,12,1664,1575
5,2,13,1648,1525
5,2,14,1477,1414
5,2,15,1533,1369
5,2,16,1617,1494
5,2,17,1923,1774
5,2,18,2127,1875
5,2,19,2195,1916
5,2,20,2231,2010
5,2,21,2358,2090
5,2,22,2462,1925
5,2,23,2047,1311
5,3,0,779,750
5,3,1,704,526
5,3,2,901,651
5,3,3,470,326
5,3,4,316,263
5,3,5,914,915
5,3,6,1427,890
5,3,7,2021,1436
5,3,8,2276,1824
5,3,9,1980,1694
5,3,10,1656,1658
5,3,11,1850,1736
5,3,12,1928,1750
5,3,13,1916,1766
5,3,14,1696,1541
5,3,15,1526,1313
5,3,16,1514,1438
5,3,17,1595,1661
5,3,18,1510,1523
5,3,19,1568,1510
5,3,20,1489,1447
5,3,21,1455,1338
5,3,22,1289,1229
5,3,23,1120,873
5,4,0,952,1217
5,4,1,920,1012
5,4,2,758,961
5,4,3,503,673
5,4,4,278,483
5,4,5,530,775
5,4,6,515,757
5,4,7,853,1232
5,4,8,1106,1330
5,4,9,1236,1486
5,4,10,1297,1490
5,4,11,1424,1527
5,4,12,1410,1496
5,4,13,1374,1551
5,4,14,1244,1275
5,4,15,1239,1143
5,4,16,1197,1272
5,4,17,1297,1355
5,4,18,1447,1592
5,4,19,1439,1496
5,4,20,1456,1584
5,4,21,1558,1573
5,4,22,1462,1548
5,4,23,1214,1081
5,5,0,699,757
5,5,1,574,504
5,5,2,542,426
5,5,3,241,164
5,5,4,154,145
5,5,5,425,488
5,5,6,589,426
5,5,7,863,713
5,5,8,1363,1177
5,5,9,1874,1493
5,5,10,2148,1792
5,5,11,2104,1936
5,5,12,2052,1964
5,5,13,1886,1807
5,5,14,1842,1762
5,5,15,1562,1458
5,5,16,1327,1296
5,5,17,1641,1454
5,5,18,1821,1759
5,5,19,1859,1756
5,5,20,1834,1710
5,5,21,1640,1405
5,5,22,1523,1297
5,5,23,1181,802
6,0,0,1540,2078
6,0,1,1390,1554
6,0,2,1095,1180
6,0,3,637,733
6,0,4,753,733
6,0,5,1553,1829
6,0,6,1642,1917
6,0,7,2327,2663
6,0,8,2334,2483
6,0,9,2560,2585
6,0,10,3066,3206
6,0,11,3494,3583
6,0,12,3680,3875
6,0,13,3523,3789
6,0,14,3147,3282
6,0,15,2624,2645
6,0,16,2185,2306
6,0,17,2154,2472
6,0,18,2659,2821
6,0,19,3230,3627
6,0,20,3364,3910
6,0,21,3316,3842
6,0,22,2890,3191
6,0,23,2352,2220
6,1,0,2276,2669
6,1,1,2126,2077
6,1,2,2461,2405
6,1,3,1182,1147
6,1,4,892,910
6,1,5,2536,1916
6,1,6,1617,2435
6,1,7,2156,2911
6,1,8,2456,2696
6,1,9,2358,2594
6,1,10,2633,2698
6,1,11,2951,2982
6,1,12,3074,3242
6,1,13,3322,3389
6,1,14,3542,3500
6,1,15,3560,3552
6,1,16,3462,3638
6,1,17,3663,3807
6,1,18,3759,3561
6,1,19,4064,3541
6,1,20,3999,3490
6,1,21,4148,3576
6,1,22,3823,3178
6,1,23,3421,2610
6,2,0,1068,1155
6,2,1,952,794
6,2,2,741,625
6,2,3,417,311
6,2,4,328,282
6,2,5,528,698
6,2,6,463,915
6,2,7,778,947
6,2,8,1130,1101
6,2,9,1650,1433
6,2,10,1738,1564
6,2,11,1814,1636
6,2,12,1912,1733
6,2,13,1928,1866
6,2,14,1750,1620
6,2,15,1568,1462
6,2,16,1436,1312
6,2,17,1455,1522
6,2,18,1799,1794
6,2,19,2130,1919
6,2,20,2273,2146
6,2,21,2659,2556
6,2,22,2550,2240
6,2,23,1820,1437
6,3,0,666,832
6,3,1,684,554
6,3,2,739,603
6,3,3,460,335
6,3,4,403,347
6,3,5,992,1089
6,3,6,1587,1065
6,3,7,1903,1663
6,3,8,1829,1864
6,3,9,1639,1601
6,3,10,1677,1584
6,3,11,1731,1641
6,3,12,1816,1741
6,3,13,1759,1630
6,3,14,1774,1601
6,3,15,1548,1321
6,3,16,1530,1492
6,3,17,1520,1614
6,3,18,1461,1444
6,3,19,1346,1392
6,3,20,1341,1377
6,3,21,1310,1319
6,3,22,1260,1288
6,3,23,1028,826
6,4,0,848,1105
6,4,1,857,906
6,4,2,759,916
6,4,3,437,568
6,4,4,303,508
6,4,5,532,964
6,4,6,632,953
6,4,7,816,1230
6,4,8,907,1003
6,4,9,1023,1067
6,4,10,1295,1271
6,4,11,1326,1456
6,4,12,1479,1506
6,4,13,1536,1629
6,4,14,1496,1508
6,4,15,1316,1278
6,4,16,1229,1300
6,4,17,1112,1205
6,4,18,1269,1305
6,4,19,1773,1685
6,4,20,1802,1849
6,4,21,1856,1836
6,4,22,1706,1699
6,4,23,1386,1196
6,5,0,660,730
6,5,1,480,372
6,5,2,424,381
6,5,3,227,171
6,5,4,145,115
6,5,5,556,677
6,5,6,877,657
6,5,7,1292,1173
6,5,8,1966,1818
6,5,9,2393,2121
6,5,10,2148,1950
6,5,11,1982,1916
6,5,12,1891,1834
6,5,13,1803,1728
6,5,14,1704,1618
6,5,15,1511,1417
6,5,16,1326,1240
6,5,17,1449,1431
6,5,18,1858,1636
6,5,19,1913,1715
6,5,20,1797,1694
6,5,21,1789,1600
6,5,22,1551,1355
6,5,23,1123,815
